"","PRVDR_NUM_prov","FULL_ADR_prov","STATE_CD_prov","ST_ADR_prov","FAC_NAME_prov","CITY_NAME_prov","PHNE_NUM_prov","ZIP_CD_prov","PRVDR_CTGRY_CD","PRVDR_NUM_lab","FULL_ADR_lab","STATE_CD_lab","ST_ADR_lab","FAC_NAME_lab","CITY_NAME_lab","PHNE_NUM_lab","ZIP_CD_lab","PRVDR_TYPE","STATE","BING_ADR"
"17","070018","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL ASSOCIATION -","GREENWICH",2038633000,"06830",1,"07D0101367","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL DEPT OF PATHOLOGY","GREENWICH","2038633082","06830","Hospital","CONNECTICUT","5 Perryridge Rd, Greenwich, Connecticut 06830, United States"
"18","070018","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL ASSOCIATION -","GREENWICH",2038633000,"06830",1,"07D0677744","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","INTERNAL MEDICINE RESIDENCY PROGRAM","GREENWICH","2038633913","06830","Hospital","CONNECTICUT","5 Perryridge Rd, Greenwich, Connecticut 06830, United States"
"19","070018","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL ASSOCIATION -","GREENWICH",2038633000,"06830",1,"07D0702017","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL","GREENWICH","2038633538","06830","Hospital","CONNECTICUT","5 Perryridge Rd, Greenwich, Connecticut 06830, United States"
"20","070018","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL ASSOCIATION -","GREENWICH",2038633000,"06830",1,"07D2176723","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH FERTILITY CENTER","GREENWICH","2038633507","06830","Hospital","CONNECTICUT","5 Perryridge Rd, Greenwich, Connecticut 06830, United States"
"21","070018","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL ASSOCIATION -","GREENWICH",2038633000,"06830",1,"07D2193713","5 PERRYRIDGE RD, GREENWICH, CT, 06830","CT","5 PERRYRIDGE RD","GREENWICH HOSPITAL","GREENWICH","2038633674","06830","Hospital","CONNECTICUT","5 Perryridge Rd, Greenwich, Connecticut 06830, United States"
"22","070021","112 MANSFIELD AVE, WILLIMANTIC, CT, 06226","CT","112 MANSFIELD AVE","WINDHAM COMM MEM HOSP & HATCH HOSP","WILLIMANTIC",8604569116,"06226",1,"07D0095208","112 MANSFIELD AVE, WILLIMANTIC, CT, 06226","CT","112 MANSFIELD AVE","WINDHAM COMMUNITY MEMORIAL HOSPITAL","WILLIMANTIC","2034566790","06226","Hospital","CONNECTICUT","112 Mansfield Ave, Willimantic, Connecticut 06226, United States"
"23","070024","326 WASHINGTON ST, NORWICH, CT, 06360","CT","326 WASHINGTON ST","WILLIAM W BACKUS HOSPITAL","NORWICH",8608898331,"06360",1,"07D0095725","326 WASHINGTON ST, NORWICH, CT, 06360","CT","326 WASHINGTON ST","WILLIAM W BACKUS HOSPITAL LAB","NORWICH","8608898331","06360","Hospital","CONNECTICUT","326 Washington St, Norwich, Connecticut 06360, United States"
"24","070024","326 WASHINGTON ST, NORWICH, CT, 06360","CT","326 WASHINGTON ST","WILLIAM W BACKUS HOSPITAL","NORWICH",8608898331,"06360",1,"07D0866078","326 WASHINGTON ST, NORWICH, CT, 06360","CT","326 WASHINGTON ST","WILLIAM W BACKUS HOSPITAL","NORWICH","8608922711","06360","Hospital","CONNECTICUT","326 Washington St, Norwich, Connecticut 06360, United States"
"25","070025","80 SEYMOUR ST, HARTFORD, CT, 06102","CT","80 SEYMOUR ST","HARTFORD HOSPITAL","HARTFORD",8605455000,"06102",1,"07D0094382","80 SEYMOUR ST, HARTFORD, CT, 06102","CT","80 SEYMOUR ST","HARTFORD HOSPITAL LABORATORY","HARTFORD","8609722249","06102","Hospital","CONNECTICUT","80 Seymour St, Hartford, Connecticut 06102, United States"
"26","070025","80 SEYMOUR ST, HARTFORD, CT, 06102","CT","80 SEYMOUR ST","HARTFORD HOSPITAL","HARTFORD",8605455000,"06102",1,"07D0904107","80 SEYMOUR ST, HARTFORD, CT, 06102","CT","80 SEYMOUR ST","HARTFORD HOSPITAL POINT OF CARE TESTING","HARTFORD","8609722249","06102","Hospital","CONNECTICUT","80 Seymour St, Hartford, Connecticut 06102, United States"
"27","070025","80 SEYMOUR ST, HARTFORD, CT, 06102","CT","80 SEYMOUR ST","HARTFORD HOSPITAL","HARTFORD",8605455000,"06102",1,"07D2155996","80 SEYMOUR ST, HARTFORD, CT, 06106","CT","80 SEYMOUR ST","HARTFORD DOWNTOWN DIALYSIS","HARTFORD","8609722070","06106","Hospital","CONNECTICUT","80 Seymour St, Hartford, Connecticut 06102, United States"
"28","070027","71 HAYNES ST, MANCHESTER, CT, 06040","CT","71 HAYNES ST","MANCHESTER MEMORIAL HOSPITAL","MANCHESTER",8606474780,"06040",1,"07D0092869","71 HAYNES ST, MANCHESTER, CT, 06040","CT","71 HAYNES ST","MANCHESTER MEMORIAL HOSPITAL","MANCHESTER","8606461222","06040","Hospital","CONNECTICUT","71 Haynes St, Manchester, Connecticut 06040, United States"
"29","070027","71 HAYNES ST, MANCHESTER, CT, 06040","CT","71 HAYNES ST","MANCHESTER MEMORIAL HOSPITAL","MANCHESTER",8606474780,"06040",1,"07D0873944","71 HAYNES ST, MANCHESTER, CT, 06040","CT","71 HAYNES ST","MANCHESTER MEMORIAL HOSPITAL / NURSING DEPARTMENT","MANCHESTER","8606474720","06040","Hospital","CONNECTICUT","71 Haynes St, Manchester, Connecticut 06040, United States"
"30","070027","71 HAYNES ST, MANCHESTER, CT, 06040","CT","71 HAYNES ST","MANCHESTER MEMORIAL HOSPITAL","MANCHESTER",8606474780,"06040",1,"07D2010712","100 HAYNES ST, MANCHESTER, CT, 06040","CT","100 HAYNES ST","MANCHESTER MEMORIAL HOSPITAL","MANCHESTER","8605332929","06040","Hospital","CONNECTICUT","71 Haynes St, Manchester, Connecticut 06040, United States"
"31","070028","2800 MAIN ST, BRIDGEPORT, CT, 06606","CT","2800 MAIN ST","ST VINCENT'S MEDICAL CENTER","BRIDGEPORT",2035765551,"06606",1,"07D0668964","2800 MAIN ST, BRIDGEPORT, CT, 06606","CT","2800 MAIN ST","ST VINCENTS MEDICAL CENTER PULMONARY LAB","BRIDGEPORT","4752105090","06606","Hospital","CONNECTICUT","2800 Main St, Bridgeport, Connecticut 06606, United States"
"32","070028","2800 MAIN ST, BRIDGEPORT, CT, 06606","CT","2800 MAIN ST","ST VINCENT'S MEDICAL CENTER","BRIDGEPORT",2035765551,"06606",1,"07D0668965","2800 MAIN ST, BRIDGEPORT, CT, 06606","CT","2800 MAIN ST","ST VINCENTS MEDICAL CENTER","BRIDGEPORT","4752105032","06606","Hospital","CONNECTICUT","2800 Main St, Bridgeport, Connecticut 06606, United States"
"33","070028","2800 MAIN ST, BRIDGEPORT, CT, 06606","CT","2800 MAIN ST","ST VINCENT'S MEDICAL CENTER","BRIDGEPORT",2035765551,"06606",1,"07D0687217","2800 MAIN ST, BRIDGEPORT, CT, 06606","CT","2800 MAIN ST","ST VINCENTS MEDICAL CENTER","BRIDGEPORT","2035765030","06606","Hospital","CONNECTICUT","2800 Main St, Bridgeport, Connecticut 06606, United States"
"34","070029","41 BREWSTER RD, BRISTOL, CT, 06010","CT","41 BREWSTER RD","BRISTOL HOSPITAL","BRISTOL",8605853000,"06010",1,"07D0092365","41 BREWSTER RD, BRISTOL, CT, 06010","CT","41 BREWSTER RD","BRISTOL HOSPITAL, INC","BRISTOL","8605853217","06010","Hospital","CONNECTICUT","41 Brewster Rd, Bristol, Connecticut 06010, United States"
"35","070033","24 HOSPITAL AVE, DANBURY, CT, 06810","CT","24 HOSPITAL AVE","DANBURY HOSPITAL","DANBURY",2037397000,"06810",1,"07D0101031","24 HOSPITAL AVE, DANBURY, CT, 06810","CT","24 HOSPITAL AVE","DANBURY HOSP DEPT OF LAB MED","DANBURY","2037977000","06810","Hospital","CONNECTICUT","24 Hospital Ave, Danbury, Connecticut 06810, United States"
"36","070033","24 HOSPITAL AVE, DANBURY, CT, 06810","CT","24 HOSPITAL AVE","DANBURY HOSPITAL","DANBURY",2037397000,"06810",1,"07D0895997","24 HOSPITAL AVE, DANBURY, CT, 06810","CT","24 HOSPITAL AVE","DANBURY HEALTH SYSTEMS EMS DIVISION","DANBURY","2037977493","06810","Hospital","CONNECTICUT","24 Hospital Ave, Danbury, Connecticut 06810, United States"
"37","070035","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT, THE","NEW BRITAIN",8602245011,"06050",1,"07D0092913","100 GRAND ST, NEW BRITAIN, CT, 06052","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT","NEW BRITAIN","8602245581","06052","Hospital","CONNECTICUT","100 Grand St, New Britain, Connecticut 06050, United States"
"38","070035","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT, THE","NEW BRITAIN",8602245011,"06050",1,"07D0950212","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT,THE","NEW BRITAIN","8602245584","06050","Hospital","CONNECTICUT","100 Grand St, New Britain, Connecticut 06050, United States"
"39","070035","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT, THE","NEW BRITAIN",8602245011,"06050",1,"07D0950240","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT,THE","NEW BRITAIN","8602245261","06050","Hospital","CONNECTICUT","100 Grand St, New Britain, Connecticut 06050, United States"
"40","070035","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","HOSPITAL OF CENTRAL CONNECTICUT, THE","NEW BRITAIN",8602245011,"06050",1,"07D2156002","100 GRAND ST, NEW BRITAIN, CT, 06050","CT","100 GRAND ST","NEW BRITAIN DIALYSIS","NEW BRITAIN","8602245195","06050","Hospital","CONNECTICUT","100 Grand St, New Britain, Connecticut 06050, United States"
"41","070038","100 DOUBLE BCH RD, BRANFORD, CT, 06405","CT","100 DOUBLE BCH RD","CONNECTICUT HOSPICE INC,THE","BRANFORD",2033157500,"06405",1,"07D0706875","100 DOUBLE BCH RD, BRANFORD, CT, 06405","CT","100 DOUBLE BCH RD","CONNECTICUT HOSPICE INC,THE","BRANFORD","2033157500","06405","Hospital","CONNECTICUT","100 Double Bch Rd, Branford, Connecticut 06405, United States"
"42","070040","1 ABRAHMS BLVD, WEST HARTFORD, CT, 06117","CT","1 ABRAHMS BLVD","HEBREW HOME AND HOSPITAL INC","WEST HARTFORD",8605233800,"06117",1,"07D0674984","1 ABRAHMS BLVD, WEST HARTFORD, CT, 06117","CT","1 ABRAHMS BLVD","HEBREW HOME & HOSPITAL","WEST HARTFORD","8605233800","06117","Hospital","CONNECTICUT","1 Abrahms Blvd, West Hartford, Connecticut 06117, United States"
"43","070040","1 ABRAHMS BLVD, WEST HARTFORD, CT, 06117","CT","1 ABRAHMS BLVD","HEBREW HOME AND HOSPITAL INC","WEST HARTFORD",8605233800,"06117",1,"07D2186378","1 ABRAHMS BLVD, WEST HARTFORD, CT, 06117","CT","1 ABRAHMS BLVD","HEBREW CENTER FOR HEALTH AND REHAB","WEST HARTFORD","8609551169","06117","Hospital","CONNECTICUT","1 Abrahms Blvd, West Hartford, Connecticut 06117, United States"
"44","072004","2150 CORBIN AVE, NEW BRITAIN, CT, 06050","CT","2150 CORBIN AVE","HOSPITAL FOR SPECIAL CARE","NEW BRITAIN",8602232761,"06050",1,"07D0718558","2150 CORBIN AVE, NEW BRITAIN, CT, 06053","CT","2150 CORBIN AVE","COLLABORATIVE LABORATORY SERVICES BLOOD GAS LAB","NEW BRITAIN","8607146355","06053","Hospital","CONNECTICUT","2150 Corbin Ave, New Britain, Connecticut 06050, United States"
"45","072004","2150 CORBIN AVE, NEW BRITAIN, CT, 06050","CT","2150 CORBIN AVE","HOSPITAL FOR SPECIAL CARE","NEW BRITAIN",8602232761,"06050",1,"07D2143504","2150 CORBIN AVE, NEW BRITAIN, CT, 06053","CT","2150 CORBIN AVE","HOSPITAL FOR SPECIAL CARE","NEW BRITAIN","8608271958","06053","Hospital","CONNECTICUT","2150 Corbin Ave, New Britain, Connecticut 06050, United States"
"46","073025","490 BLUE HLS AVE, HARTFORD, CT, 06112","CT","490 BLUE HLS AVE","MOUNT SINAI REHABILITATION HOSPITAL INC","HARTFORD",8607143500,"06112",1,"07D1027734","500 BLUE HLS AVE, HARTFORD, CT, 06112","CT","500 BLUE HLS AVE","HOSPITAL FOR SPECIAL CARE","HARTFORD","8608271958","06112","Hospital","CONNECTICUT","490 Blue Hls Ave, Hartford, Connecticut 06112, United States"
"47","073025","490 BLUE HLS AVE, HARTFORD, CT, 06112","CT","490 BLUE HLS AVE","MOUNT SINAI REHABILITATION HOSPITAL INC","HARTFORD",8607143500,"06112",1,"07D2136676","490 BLUE HLS AVE, HARTFORD, CT, 06112","CT","490 BLUE HLS AVE","COLLABORATIVE LABORATORY SERVICES, LLC","HARTFORD","8607146355","06112","Hospital","CONNECTICUT","490 Blue Hls Ave, Hartford, Connecticut 06112, United States"
"48","073300","282 WASHINGTON ST, HARTFORD, CT, 06106","CT","282 WASHINGTON ST","CONNECTICUT CHILDRENS MEDICAL CENTER","HARTFORD",8605459000,"06106",1,"07D0712018","282 WASHINGTON ST, HARTFORD, CT, 06106","CT","282 WASHINGTON ST","CONNECTICUT CHILDREN'S MED CTR LAB","HARTFORD","8605458124","06106","Hospital","CONNECTICUT","282 Washington St, Hartford, Connecticut 06106, United States"
"49","073300","282 WASHINGTON ST, HARTFORD, CT, 06106","CT","282 WASHINGTON ST","CONNECTICUT CHILDRENS MEDICAL CENTER","HARTFORD",8605459000,"06106",1,"07D2116939","282 WASHINGTON ST, HARTFORD, CT, 06106","CT","282 WASHINGTON ST","CONNECTICUT CHILDREN'S MEDICAL CENTER FROZEN SECT","HARTFORD","8608375595","06106","Hospital","CONNECTICUT","282 Washington St, Hartford, Connecticut 06106, United States"
"50","074014","208 VLY RD, NEW CANAAN, CT, 06840","CT","208 VLY RD","SILVER HILL HOSPITAL INC","NEW CANAAN",2039663561,"06840",1,"07D0101501","208 VLY RD, NEW CANAAN, CT, 06840","CT","208 VLY RD","SILVER HILL HOSPITAL","NEW CANAAN","2038012273","06840","Hospital","CONNECTICUT","208 Vly Rd, New Canaan, Connecticut 06840, United States"
"51","074015","915 RIV RD, MIDDLETOWN, CT, 06457","CT","915 RIV RD","ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS","MIDDLETOWN",8607044090,"06457",1,"07D0980810","915 RIV RD, MIDDLETOWN, CT, 06457","CT","915 RIV RD","CLINICAL LABORATORY","MIDDLETOWN","8607044126","06457","Hospital","CONNECTICUT","915 Riv Rd, Middletown, Connecticut 06457, United States"
"52","075001","6448 MAIN ST, TRUMBULL, CT, 06611","CT","6448 MAIN ST","ST JOSEPH'S CENTER","TRUMBULL",2032686204,"06611",2,"07D0099663","6448 MAIN ST, TRUMBULL, CT, 06611","CT","6448 MAIN ST","ST JOSEPH'S CENTER","TRUMBULL","2032686204","06611","Nursing Home","CONNECTICUT","6448 Main St, Trumbull, Connecticut 06611, United States"
"53","075001","6448 MAIN ST, TRUMBULL, CT, 06611","CT","6448 MAIN ST","ST JOSEPH'S CENTER","TRUMBULL",2032686204,"06611",2,"07D2209910","6448 MAIN ST, TRUMBULL, CT, 06611","CT","6448 MAIN ST","ST JOSEPH'S CENTER","TRUMBULL","2032686204","06611","Nursing Home","CONNECTICUT","6448 Main St, Trumbull, Connecticut 06611, United States"
"54","075011","581 POQUONOCK AVE, WINDSOR, CT, 06095","CT","581 POQUONOCK AVE","WINDSOR HEALTH AND REHABILITATION CENTER, LLC","WINDSOR",8606887211,"06095",2,"07D0684439","581 POQUONOCK AVE, WINDSOR, CT, 06095","CT","581 POQUONOCK AVE","WINDSOR HEALTH AND REHABILITATION CENTER, LLC","WINDSOR","8606887211","06095","Nursing Home","CONNECTICUT","581 Poquonock Ave, Windsor, Connecticut 06095, United States"
"55","075013","565 VERNON ST, MANCHESTER, CT, 06040","CT","565 VERNON ST","CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR","MANCHESTER",8606435151,"06040",3,"07D0687348","565 VERNON ST, MANCHESTER, CT, 06040","CT","565 VERNON ST","CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR","MANCHESTER","8606435151","06040","Nursing Home","CONNECTICUT","565 Vernon St, Manchester, Connecticut 06040, United States"
"56","075017","163 QUINNIPIAC AVE, NORTH HAVEN, CT, 06473","CT","163 QUINNIPIAC AVE","MONTOWESE HEALTH & REHABILITATION CENTER","NORTH HAVEN",2036243303,"06473",2,"07D0701034","163 QUINNIPIAC AVE, NORTH HAVEN, CT, 06473","CT","163 QUINNIPIAC AVE","MONTOWESE HEALTH & REHAB CENTER","NORTH HAVEN","2036243303","06473","Nursing Home","CONNECTICUT","163 Quinnipiac Ave, North Haven, Connecticut 06473, United States"
"57","075028","132 MAIN ST, CHESTER, CT, 06412","CT","132 MAIN ST","CHESTERFIELDS HEALTH CARE CENTER","CHESTER",8605265363,"06412",2,"07D0879065","132 MAIN ST, CHESTER, CT, 06412","CT","132 MAIN ST","CHESTERFIELDS HEALTH CARE CENTER","CHESTER","8605265363","06412","Nursing Home","CONNECTICUT","132 Main St, Chester, Connecticut 06412, United States"
"58","075044","269 FARMINGTON AVE, PLAINVILLE, CT, 06062","CT","269 FARMINGTON AVE","APPLE REHAB FARMINGTON VALLEY","PLAINVILLE",8607471637,"06062",2,"07D0662866","269 FARMINGTON AVE, PLAINVILLE, CT, 06062","CT","269 FARMINGTON AVE","PLAINVILLE HEALTH CARE CENTER DBA","PLAINVILLE","8607471637","06062","Nursing Home","CONNECTICUT","269 Farmington Ave, Plainville, Connecticut 06062, United States"
"59","075047","45 MALTBY ST, SHELTON, CT, 06484","CT","45 MALTBY ST","HEWITT HEALTH & REHABILITATION CENTER, INC","SHELTON",2039244671,"06484",2,"07D0644687","45 MALTBY ST, SHELTON, CT, 06484","CT","45 MALTBY ST","HEWITT HEALTH & REHAB CENTER","SHELTON","2039244671","06484","Nursing Home","CONNECTICUT","45 Maltby St, Shelton, Connecticut 06484, United States"
"60","075057","35 MARC DR, WALLINGFORD, CT, 06492","CT","35 MARC DR","SKYVIEW REHAB AND NURSING","WALLINGFORD",2032650981,"06492",2,"07D0667992","35 MARC DR, WALLINGFORD, CT, 06492","CT","35 MARC DR","SKYVIEW REHAB AND NURSING","WALLINGFORD","2032650981","06492","Nursing Home","CONNECTICUT","35 Marc Dr, Wallingford, Connecticut 06492, United States"
"61","075061","53 COURTLAND AVE, STAMFORD, CT, 06902","CT","53 COURTLAND AVE","CASSENA CARE AT STAMFORD","STAMFORD",2033518300,"06902",2,"07D0715115","53 COURTLAND AVE, STAMFORD, CT, 06902","CT","53 COURTLAND AVE","CASSENA CARE AT STAMFORD","STAMFORD","2033518300","06902","Nursing Home","CONNECTICUT","53 Courtland Ave, Stamford, Connecticut 06902, United States"
"62","075063","705 NEW BRITAIN AVE, HARTFORD, CT, 06106","CT","705 NEW BRITAIN AVE","AVERY NURSING HOME/NOBLE BUILDING","HARTFORD",8605279126,"06106",2,"07D0094346","705 NEW BRITAIN AVE, HARTFORD, CT, 06106","CT","705 NEW BRITAIN AVE","CHURCH HOMES INC AVERY HEIGHTS","HARTFORD","8605279126","06106","Nursing Home","CONNECTICUT","705 New Britain Ave, Hartford, Connecticut 06106, United States"
"63","075069","1188 KING ST, GREENWICH, CT, 06831","CT","1188 KING ST","REGALCARE AT GREENWICH","GREENWICH",2035318300,"06831",2,"07D0678464","1188 KING ST, GREENWICH, CT, 06831","CT","1188 KING ST","REGALCARE AT GREENWICH","GREENWICH","2035318300","06831","Nursing Home","CONNECTICUT","1188 King St, Greenwich, Connecticut 06831, United States"
